c
c This is glucose 4.0 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:        629552                                                                   |
c |  Number of clauses:         6961909                                                                   |
c |  Parse time:                   1.78 s                                                                 |
c |                                                                                                       |
c | Preprocesing is fully done
c Too many clauses... No preprocessing
c |  Simplification time:          0.29 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c | Adapt dynamically the solver after 100000 conflicts (restarts, reduction strategies...)               |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   2000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |       85         0      117 |  592875  6411678 13411250 |     2     5791      771     3578 |  5.826 % |
c |      152        60      131 |  592361  6404998 13397884 |     3    10814     1151     8301 |  5.908 % |
c |      221       107      135 |  591801  6384296 13356476 |     4    13344     1639    15396 |  5.996 % |
c |      288       194      138 |  591621  6372614 13333106 |     5    13608     1913    24839 |  6.025 % |
c |      354       232      141 |  588270  6256358 13097364 |     5    23051     2131    24839 |  6.557 % |
c |      410       280      146 |  587913  6240585 13065818 |     6    20932     2366    36653 |  6.614 % |
c |      475       345      147 |  587615  6227498 13039641 |     7    16059     2606    51167 |  6.661 % |
c |      535       400      149 |  587270  6220382 13025409 |     7    25863     2835    51167 |  6.716 % |
c |      603       457      149 |  587100  6211189 13007021 |     8    18676     3026    68073 |  6.743 % |
c |      664       507      150 |  586016  6197084 12978673 |     8    28273     3233    68073 |  6.915 % |
c
c Try to adapt solver strategies
c 
c Nothing extreme in this problem, continue with glucose default strategies.
c
c |      714       569      154 |  585830  6187617 12959739 |     8    38058     3428    68073 |  6.945 % |
c |      773       604      155 |  585713  6184457 12953419 |     9    28291     3581    87756 |  6.964 % |
c |      832       654      156 |  585490  6174733 12933971 |     9    38046     3763    87756 |  6.999 % |
c |      884       692      158 |  585348  6172226 12928957 |    10    25747     3900   109977 |  7.022 % |
c |      917       768      163 |  585218  6166164 12916833 |    10    35621     4032   109977 |  7.042 % |
c |      987       822      162 |  584946  6163537 12911555 |    10    45509     4156   109977 |  7.085 % |
c |     1036       872      164 |  584831  6159499 12903479 |    11    30359     4295   135023 |  7.104 % |
c |     1090       923      165 |  584692  6155039 12894559 |    11    40229     4437   135023 |  7.126 % |
c |     1146       976      165 |  584416  6146434 12877349 |    11    50015     4659   135023 |  7.170 % |
c |     1197      1028      167 |  584249  6136455 12857391 |    12    32362     4921   162475 |  7.196 % |
c |     1230      1070      170 |  584203  6132534 12849549 |    12    42227     5042   162475 |  7.203 % |
c |     1260      1128      174 |  584051  6127445 12839371 |    12    52079     5177   162475 |  7.228 % |
c |     1306      1178      176 |  583927  6123947 12832375 |    13    31994     5309   192457 |  7.247 % |
c |     1339      1228      179 |  583704  6114220 12812914 |    13    41760     5443   192457 |  7.283 % |
c |     1367      1264      182 |  583273  6111138 12806750 |    13    51657     5641   192457 |  7.351 % |
c |     1414      1326      183 |  583246  6104297 12793027 |    13    61389     5753   192457 |  7.355 % |
c |     1434      1368      188 |  583199  6102408 12789249 |    14    38659     5856   225128 |  7.363 % |
c |     1484      1427      188 |  583109  6098828 12782085 |    14    48584     5986   225128 |  7.377 % |
c |     1535      1482      188 |  583068  6097619 12779667 |    14    58541     6107   225128 |  7.384 % |
c |     1578      1534      190 |  583025  6096831 12778091 |    14    68514     6206   225128 |  7.390 % |
c |     1614      1600      192 |  582861  6093086 12770601 |    15    43503     6301   260035 |  7.417 % |
c |     1655      1661      193 |  582688  6088589 12761603 |    15    53355     6432   260035 |  7.444 % |
c |     1699      1724      194 |  582609  6084319 12753063 |    15    63205     6576   260035 |  7.457 % |
c |     1730      1754      196 |  582588  6083295 12751015 |    15    73178     6675   260035 |  7.460 % |
c |     1768      1798      197 |  582541  6079729 12743883 |    16    44756     6808   298356 |  7.467 % |
c |     1815      1853      198 |  582484  6077474 12739373 |    16    54694     6927   298356 |  7.476 % |
c |     1862      1905      198 |  582421  6074334 12733093 |    16    64585     7016   298356 |  7.486 % |
c |     1917      1947      198 |  582374  6073170 12730765 |    16    74542     7128   298356 |  7.494 % |
